"age","year","numbers"
"5","2050",0.0120277489116564
"1","2051",7.70831867213556
"2","2051",0.0709545380699206
"3","2051",0.00696508055494044
"4","2051",0.006230371193184
"5","2051",0.0121636209003644
"1","2052",7.71482510434539
"2","2052",0.0713091319392932
"3","2052",0.00702393480024376
"4","2052",0.00628591513772712
"5","2052",0.0122723580033982
"1","2053",7.71987116591523
"2","2053",0.07158481950643
"3","2053",0.0070706993929571
"4","2053",0.00633035231814189
"5","2053",0.0123587702545413
"1","2054",7.7237825920887
"2","2054",0.071798906919291
"3","2054",0.00710765140992793
"4","2054",0.00636565747083954
"5","2054",0.0124270577740496
"1","2055",7.72681328111733
"2","2055",0.0719650145622588
"3","2055",0.00713672002434238
"4","2055",0.00639355223418792
"5","2055",0.0124807810385048
"1","2056",7.72916081908824
"2","2056",0.0720938097006746
"3","2056",0.00715950574943503
"4","2056",0.00641549447157965
"5","2056",0.012522895175463
"1","2057",7.73097875780711
"2","2057",0.0721936241395119
"3","2057",0.00717731674464392
"4","2057",0.00643269325809939
"5","2057",0.0125558162645599
"1","2058",7.73238631275037
"2","2058",0.0722709499849292
"3","2058",0.00719120819998251
"4","2058",0.00644613657946409
"5","2058",0.0125814936020635
"1","2059",7.73347596860997
"2","2059",0.072330837052726
"3","2059",0.0072020237764863
"4","2059",0.00645662121340789
"5","2059",0.0126014859823093
"1","2060",7.73431943045199
"2","2060",0.0723772082431322
"3","2060",0.0072104330174468
"4","2060",0.00646478412827148
"5","2060",0.0126170306478092
"1","2061",7.73497226711913
"2","2061",0.0724131081030704
"3","2061",0.00721696429681729
"4","2061",0.00647113078049317
"5","2061",0.0126291040703649
"1","2062",7.73547752731376
"2","2062",0.0724408977791152
"3","2062",0.00722203275742523
"4","2062",0.00647606002328481
"5","2062",0.0126384735196787
"1","2063",7.7358685514606
"2","2063",0.0724624074211789
"3","2063",0.00722596346290142
"4","2063",0.00647988521682379
"5","2063",0.0126457398146407
"1","2064",7.73617115571431
"2","2064",0.0724790550160342
"3","2064",0.00722901026659349
"4","2064",0.00648285171626814
"5","2064",0.0126513721758329
"1","2065",7.73640532682114
"2","2065",0.072491938868725
"3","2065",0.00723137100126894
"4","2065",0.00648515112129473
"5","2065",0.0126557362881096
"1","2066",7.73658653650607
"2","2066",0.0725019094738442
"3","2066",0.00723319959398728
"4","2066",0.00648693274524628
"5","2066",0.0126591166859853
"1","2067",7.736726760272
"2","2067",0.0725096253110426
"3","2067",0.00723461566082372
"4","2067",0.0064883127614738
"5","2067",0.0126617344844525
"1","2068",7.73683526677236
"2","2068",0.0725155961262565
"3","2068",0.0072357120649909
"4","2068",0.00648938144638483
"5","2068",0.0126637613474312
"1","2069",7.7369192292362
"2","2069",0.0725202164855265
"3","2069",0.00723656084622174
"4","2069",0.00649020888466956
"5","2069",0.0126653304468134
"1","2070",7.7369841989489
"2","2070",0.072523791775991
"3","2070",0.00723721785773806
"4","2070",0.00649084944484425
"5","2070",0.0126665450332235
"1","2071",7.73703447184421
"2","2071",0.0725265583472896
"3","2071",0.00723772638370869
"4","2071",0.00649134527913117
"5","2071",0.0126674851226201
"1","2072",7.73707337229789
"2","2072",0.0725286991098538
"3","2072",0.00723811995608579
"4","2072",0.00649172905375167
"5","2072",0.0126682127031628
"1","2073",7.73710347280043
"2","2073",0.072530355612441
"3","2073",0.0072384245448537
"4","2073",0.00649202607489668
"5","2073",0.0126687757839366
"1","2074",7.73712676398191
"2","2074",0.0725316373921769
"3","2074",0.00723866025918032
"4","2074",0.00649225594175875
"5","2074",0.0126692115396233
"1","2075",7.73714478620167
"2","2075",0.0725326292122156
"3","2075",0.00723884266755796
"4","2075",0.00649243383041314
"5","2075",0.0126695487508873
"1","2076",7.73715873138603
"2","2076",0.0725333966637498
"3","2076",0.0072389838215918
"4","2076",0.00649257149013462
"5","2076",0.0126698096969493
"1","2077",7.73716952183796
"2","2077",0.0725339905017127
"3","2077",0.00723909304955743
"4","2077",0.00649267801604936
"5","2077",0.0126700116225685
"1","2078",7.73717787122395
"2","2078",0.0725344500002365
"3","2078",0.00723917757125962
"4","2078",0.00649276044802809
"5","2078",0.0126701678746853
"1","2079",7.73718433176785
"2","2079",0.0725348055493795
"3","2079",0.00723924297428771
"4","2079",0.00649282423471397
"5","2079",0.0126702887828436
"1","2080",7.73718933077024
"2","2080",0.0725350806646208
"3","2080",0.00723929358282526
"4","2080",0.00649287359294664
"5","2080",0.012670382340987
"1","2081",7.73719319886752
"2","2081",0.0725352935418841
"3","2081",0.00723933274320215
"4","2081",0.00649291178609734
"5","2081",0.012670454735344
"1","2082",7.73719619189887
"2","2082",0.0725354582608495
"3","2082",0.00723936304495338
"4","2082",0.00649294133957048
"5","2082",0.0126705107530881
"1","2083",7.73719850782666
"2","2083",0.0725355857160914
"3","2083",0.00723938649193179
"4","2083",0.00649296420763268
"5","2083",0.0126705540986659
"1","2084",7.73720029982935
"2","2084",0.0725356843375946
"3","2084",0.00723940463474858
"4","2084",0.00649298190254841
"5","2084",0.0126705876386343
"1","2085",7.73720168643265
"2","2085",0.0725357606482872
"3","2085",0.00723941867327495
"4","2085",0.00649299559453024
"5","2085",0.0126706135911506
"1","2086",7.73720275934868
"2","2086",0.0725358196954541
"3","2086",0.00723942953596873
"4","2086",0.00649300618909471
"5","2086",0.0126706336726206
"1","2087",7.73720358954193
"2","2087",0.0725358653845591
"3","2087",0.00723943794126329
"4","2087",0.00649301438692859
"5","2087",0.0126706492111856
"1","2088",7.73720423192283
"2","2088",0.072535900737551
"3","2088",0.00723944444507358
"4","2088",0.00649302073021771
"5","2088",0.0126706612345455
"1","2089",7.73720472897964
"2","2089",0.0725359280927354
"3","2089",0.00723944947755782
"4","2089",0.00649302563849881
"5","2089",0.0126706705379179
"1","2090",7.7372051135886
"2","2090",0.0725359492594318
"3","2090",0.00723945337156455
"4","2090",0.0064930294364028
"5","2090",0.0126706777366281
"1","2091",7.73720541118848
"2","2091",0.0725359656376437
"3","2091",0.00723945638464518
"4","2091",0.0064930323751231
"5","2091",0.0126706833068019
"1","2092",7.73720564146312
"2","2092",0.0725359783106563
"3","2092",0.0072394587160873
"4","2092",0.00649303464902804
"5","2092",0.0126706876168551
"1","2093",7.73720581964332
"2","2093",0.0725359881166866
"3","2093",0.00723946052009501
"4","2093",0.00649303640851555
"5","2093",0.0126706909518594
"1","2094",7.73720595751427
"2","2094",0.0725359957043241
"3","2094",0.00723946191598773
"4","2094",0.00649303776996005
"5","2094",0.0126706935323961
"1","2095",7.73720606419503
"2","2095",0.07253600157543
"3","2095",0.00723946299609183
"4","2095",0.00649303882340922
"5","2095",0.0126706955291457
"1","2096",7.73720614674167
"2","2096",0.0725360061183308
"3","2096",0.0072394638318471
"4","2096",0.00649303963853975
"5","2096",0.0126706970741765
"1","2097",7.73720621061399
"2","2097",0.0725360096335027
"3","2097",0.0072394644785318
"4","2097",0.00649304026926566
"5","2097",0.0126706982696792
"1","2098",7.73720626003664
"2","2098",0.0725360123534463
"3","2098",0.0072394649789188
"4","2098",0.00649304075730422
"5","2098",0.0126706991947267
"1","2099",7.73720629827853
"2","2099",0.072536014458064
"3","2099",0.0072394653661046
"4","2099",0.00649304113493515
"5","2099",0.0126706999105032
"1","2100",7.73720632786906
"2","2100",0.0725360160865593
"3","2100",0.00723946566569838
"4","2100",0.00649304142713565
"5","2100",0.0126707004643515
